x,y
-1.494983643778722637e+02,6.024478253039537634e+01
1.113422543813848620e+02,-1.076158532883149199e+01
-3.515987278810548133e+01,-8.578529598096325515e+01
-1.899088187469336120e+01,-9.887763656995848294e+01
2.934338028757845791e+02,-1.278019011942701155e+02
1.756345412287406873e+02,-2.010869258313452335e+01
-2.821866316502485006e+02,3.722568643151217493e+00
3.149412832195866940e+02,-1.367234381119428690e+02
1.175719009998557993e+02,-1.388373933471490602e+02
3.590314873579736741e+02,-3.286608333096444312e+01
8.363905924809920123e+01,1.298994882136586568e+02
-5.745964708097579177e+01,-3.909317659857600091e+01
-4.350796134097279264e+02,9.447205127770166655e+01
1.709120662108763327e+02,-1.091870283793892042e+02
6.007668589160721240e+01,6.729029725063644207e+01
3.570175686070763845e+02,-4.645339850743994248e+01
-2.740835854569104413e+02,1.149214542997603559e+02
-1.908304969707771761e+02,-1.017149411443077724e+02
-3.317196556002176067e+01,2.115928525643483056e+02
-3.981070618298971198e+01,-6.246051351101308313e+01
-1.348469372890435807e+02,1.929963373740119437e+02
1.959842895182830205e+02,-5.212911356619070347e+01
3.621613779239642099e+02,-4.394035128340425445e+01
5.105377454313101282e+01,2.254352131174252705e+01
-4.392150343879730201e+01,-2.119082351553361221e+01
3.587497952501745146e+01,-1.908456511221834262e+01
1.094949240087526050e+02,-1.044442556311984731e+02
4.961782219971844654e+01,1.294237557243474157e+02
-1.961466343602933193e+02,-7.268916897646553821e+01
-3.438012490733137270e+02,-9.089806422563412980e+00
7.933133386800545850e+01,7.773990119349976169e+01
4.856047328537192698e+02,-1.442794462518607475e+02
-1.260842556994002734e+02,-1.142620744083101982e+02
1.673976277568626614e+01,9.605102926806566188e+01
-1.866048168448095339e+02,5.930401237194826081e+01
3.922214245131843313e+02,-5.150346672773711276e+01
-4.263635769796746899e+01,-1.264141876642283506e+02
4.174632434806738388e+02,-1.109801525876022907e+02
2.883857756281133788e+01,2.538490270846156704e+02
-1.236432642340194690e+02,6.018642661514002157e+01
-3.195003191693316467e+02,8.029586703810105064e+01
-4.146373611443732443e+01,5.729630772069517519e+01
1.478151169799673141e+02,-1.088139896590470102e+02
-1.253377582269974511e+02,1.901909155941136760e+02
-2.387999747166492455e+02,-5.928374991185000908e+01
-1.460801683420035602e+02,1.416158718856349452e+01
4.929158708144162233e+02,-7.926222118957882401e+01
-1.139655006924330110e+02,1.899382389135507765e+02
2.670832719626518781e+01,4.085817878757995203e+01
4.334240127100995892e+02,-7.067420340436289905e+01
1.142066163805738199e+02,-8.464913742086096704e+01
1.026819887106114919e+02,-1.140660927112854495e+02
1.422242050907207158e+02,-1.037552615407460621e+02
4.038095050631454797e+01,2.159931734661916494e+02
8.001884756277036104e+01,-8.653248568083733971e+01
-2.864173083763412819e+02,1.196712474012850862e+02
-3.552651089441213230e+02,4.651951504136460613e+01
2.166870944701924202e+02,-1.132184944347779663e+02
3.507823624339471280e+01,-4.705225330520164562e+00
1.117591353125101961e+02,-4.757253137053802305e+01
-5.233666197724350866e+01,2.091604836344831710e+02
-6.663277980850423887e+01,1.075772450074328219e+02
-2.657650023307331253e+02,-3.915666093529888769e+01
-2.083219097389272463e+02,-6.300533981298383424e+01
-1.825057386532384385e+02,2.119339984976997471e+01
-3.158488211669503585e+02,-1.672337802283905006e+01
-6.343630256005303636e+01,4.792845136477880175e+01
-1.675721852259876812e+02,-1.132647350879857413e+02
-9.163961817644725727e+01,-3.772562682502914821e+00
1.299642502060529807e+02,-6.001625463630997359e+01
-3.998001030472494790e+02,5.878961363707795584e+01
-7.933213727244321944e+00,7.217968455552764340e+01
1.223100540438291972e+02,-1.042320601807445684e+02
9.568899633735399846e+01,1.079904107092891508e+02
-1.349232842180452394e+02,1.774516737092610015e+02
-2.804569515542713631e+01,1.405245514994684299e+02
3.501241862395442581e+02,-6.663275998384639820e+01
-6.289084082857584690e+00,1.221151410030819306e+02
2.636140737904152047e+02,-1.328481311596423495e+02
-5.656261913161597477e+01,1.181183428924467478e+02
-2.012838235059865610e+02,1.763041032691135968e+01
-1.772506123406988010e+01,1.623738432112071450e+02
-1.445185205679305511e+02,-5.366225011584301541e+01
1.440050523755344258e+01,-1.057472184364641379e+02
-3.701027559305202885e+00,1.166740434819893864e+02
5.321357987195403183e+01,2.271683354163040462e+02
7.125893691866046709e+01,6.059314763472507970e+00
4.790251651742300965e+02,-7.091177506013475806e+01
9.332183203024096940e+01,-7.529346621455806243e+00
-3.348992472067686776e+02,1.087194513243315441e+02
-1.904643413729043004e+02,-8.751319313970472535e+01
-2.118888514957913571e+02,-4.719497491821752533e+01
2.708191236881561963e+02,-7.463656714093056621e+01
-5.619360465153825857e+01,-1.146348054212575533e+02
1.718557027771780099e+02,-8.444473056719367321e+01
-4.164565165518473577e+01,-3.160961469618271735e+01
4.866712865836482820e+02,-9.382536921454691026e+01
1.165767705810389145e+02,-1.130162038156502149e+02
-1.657315524876828761e+02,1.909662630214406320e+01
6.404927485890229377e+01,-7.010353700957143985e+01
7.761918144046005352e+01,1.482107474348100027e+02
8.713461586942770509e+01,-2.262536930478390218e+01
-1.385514126097828012e+02,8.294390338582142874e+01
2.229530364229879069e+01,8.438169800905492934e+01
-5.355434156618647279e+01,8.813570132197222406e+00
8.058538506155186099e+01,1.614602430842535625e+02
2.695167455648997930e+02,-5.433209599544247936e+01
-3.223567071859843622e+02,5.975676966415346669e+01
-2.829160221190321636e+02,1.354245970045319041e+02
-1.634772526106967234e+02,-7.979846542081665461e+01
-1.805971144723086397e+01,-5.193677451503121034e+01
-5.913442673998387988e+01,8.331954100305217992e+01
-1.140348449136831732e+01,-1.071446622325807141e+02
3.545728990190483643e+01,1.261074655626653929e+01
-4.913309227533318446e-01,3.729746120992547986e+01
-1.232277960919655513e+01,2.223088606309307806e+02
7.865839416540860896e+01,-1.100657142088583242e+02
4.750547922711721185e+02,-7.311377515929871151e+01
-2.952446314638356739e+02,4.035949182956452574e+01
-7.042238704224014612e+01,1.600013848357492918e+02
-2.537467594577051386e+02,-5.772333078287616814e+01
-1.850898210312252559e+02,-1.105833647882911919e+01
1.078049588670050980e+02,-5.764378876682690134e+01
-2.824141624245392563e+02,-1.741890717379465059e+01
-3.926848436131646736e+02,1.353663320644702139e+02
-1.949895482205954238e+02,-2.711552827003488275e+01
8.520441443162576434e+01,3.932132633896202378e+01
3.711350866415727410e+02,-1.477027615963454252e+02
1.180657230456010076e+01,-1.215939806701329644e+02
4.578001153613604401e+02,-9.469161919669409144e+01
-3.055501524225751382e+02,1.389292888663235885e+02
-6.155396277543559336e+01,-1.321735210972200036e+02
7.356042213878042446e+01,1.071681494374793573e+02
-3.802647588989628389e+02,1.253426245543997339e+02
1.846767842085760236e+01,-1.346206222585992762e+01
-7.666539007078888801e+01,-1.220111173292227704e+02
1.189196649462874120e+02,-5.438503355807978323e+01
1.780767527999538231e+02,-1.068029019679241429e+02
6.702726984954028921e+01,2.300926055520650380e+02
4.051472694872879288e+02,-5.621387738162712111e+01
-3.109117633005311063e+02,3.508989045749486024e+01
-1.441323596382683263e+02,1.785757311344661957e+02
-4.858263140182634743e+01,4.220687964439707685e+01
3.093519259610393419e+02,-9.683029182254773559e+01
-4.178091005561551015e+02,1.266407729009579697e+02
1.396927073143116615e+02,-8.973812855576015579e+01
2.430513212864656793e+02,-1.239289282063435849e+02
